,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAC,,,SSID,,,,,,,main,sub,,,
WIFI,0.8.9,165742947,0,8,0,1,2695,2719,2668,275,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,3104,CA864A100000,4F5CA1D90000,,,,1672236678,14.6,0.000651876,0,0,0,Local MAC,,0,AP,0
WIFI,0.8.9,42824729,0,8,0,1,2695,2719,2668,234,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,3712,D2C805D10000,A5FF51A00000,,,koren wifi,1672236678,16,0.000303443,0,0,0,Unclassified,,0,AP,0
WIFI,0.8.9,42824729,0,8,0,1,2695,2719,2668,234,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,3712,D2C805D10000,A5FF51A00000,,,koren wifi,1672236678,14.6,0.003665818,0,0,0,Unclassified,,0,AP,0
WIFI,0.8.9,1448066443,0,8,0,1,2931,2955,2904,34,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,3088,65CDAA7B0000,BFA0E4680000,,,,1672236678,13.4,0.002930103,0,1,0,Stationary Device,Shenzhen Reecam Tech.Ltd.,4,unknown,0
WIFI,0.8.9,1976063856,0,8,0,1,3035,3058,3008,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3104,65CDAA7B0000,BFA0E4680000,,,,1672236678,14.6,0.002194291,0,1,0,Stationary Device,Shenzhen Reecam Tech.Ltd.,4,client,0
WIFI,0.8.9,3025168955,0,8,0,1,3108,3132,3081,275,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,3120,CA864A100000,4F5CA1D90000,,,,1672236678,14.6,0.000651876,0,0,0,Local MAC,,0,AP,0
WIFI,0.8.9,1796153336,0,8,0,1,3321,3344,3294,20,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,C3114DDA0000,4116AFC10000,,,,1672236678,14.6,0.0046968,0,0,0,Unclassified,Shenzhen Trolink Technology CO LTD,1,unknown,0
WIFI,0.8.9,1796153336,0,8,0,1,3329,3352,3302,20,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,C3114DDA0000,4116AFC10000,,,,1672236678,14.6,0.003665818,0,0,0,Unclassified,Shenzhen Trolink Technology CO LTD,1,unknown,0
WIFI,0.8.9,1796153336,0,8,0,1,3329,3352,3302,20,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,C3114DDA0000,4116AFC10000,,,,1672236678,14,0.000209523,0,0,0,Unclassified,Shenzhen Trolink Technology CO LTD,1,unknown,0
WIFI,0.8.9,1796153336,0,8,0,1,3329,3352,3302,20,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,C3114DDA0000,4116AFC10000,,,,1672236678,14,0.000336962,0,0,0,Unclassified,Shenzhen Trolink Technology CO LTD,1,unknown,0
